image_name,labels,emotion_name
a.y.-jackson_algoma-in-november-1935,6,excitement
a.y.-jackson_barns-1926,2,anger
a.y.-jackson_early-spring-quebec-1923,2,anger
a.y.-jackson_entrance-to-halifax-harbour-1919,3,awe
a.y.-jackson_first-snow-algoma-country-1920,6,excitement
a.y.-jackson_frozen-lake-early-spring-algonquin-park-1914,3,awe
a.y.-jackson_grey-day-laurentians-1928,5,disgust
a.y.-jackson_hills-at-great-bear-lake-1953,6,excitement
a.y.-jackson_houses-st-urbain-1934,0,painting
a.y.-jackson_indian-home-1927,3,awe
a.y.-jackson_maple-woods-algoma-1920,5,disgust
a.y.-jackson_march-storm-georgian-bay-1920,2,anger
a.y.-jackson_nellie-lake-1933,5,disgust
a.y.-jackson_night-pine-island-1921,3,awe
a.y.-jackson_north-shore-lake-superior-1926,2,anger
a.y.-jackson_october-morning-algoma-wartz-lake-1920,7,fear
a.y.-jackson_river-st-urbain-1930,3,awe
a.y.-jackson_st-john-s-newfoundland-1951,3,awe
a.y.-jackson_terre-sauvage-1913,2,anger
a.y.-jackson_the-beothic-at-bache-post-ellesmere-island-1928,0,painting
a.y.-jackson_the-edge-of-the-maple-wood-1910,7,fear
a.y.-jackson_the-red-maple-1914,3,awe
a.y.-jackson_the-road-to-st-fidele-1930,0,painting
a.y.-jackson_the-winter-road-quebec-1921,0,painting
a.y.-jackson_valley-of-the-gouffre-river-1933,3,awe
a.y.-jackson_wilderness-deese-bay,7,fear
abdullah-suriosubroto_air-terjun,2,anger
abdullah-suriosubroto_bamboo-forest,2,anger
abdullah-suriosubroto_indonesian-landscape,2,anger
abdullah-suriosubroto_indonesian-landscape-1,3,awe
abdullah-suriosubroto_indonesian-landscape-2,3,awe
abdullah-suriosubroto_indonesian-landscape-3,3,awe
abdullah-suriosubroto_indonesian-landscape-4,3,awe
abdullah-suriosubroto_indonesian-landscape-5,2,anger
abdullah-suriosubroto_indonesian-landscape-6,2,anger
abdullah-suriosubroto_indonesian-landscape-7,2,anger
abdullah-suriosubroto_landscape-mountain,3,awe
abdullah-suriosubroto_landscape-of-paddy-field,2,anger
abdullah-suriosubroto_menuju-danau,7,fear
abdullah-suriosubroto_mountain-view,2,anger
abdullah-suriosubroto_paddy-field,2,anger
abdullah-suriosubroto_suburnya-negeriku,2,anger
abidin-dino_antibes-1961,6,excitement
abidin-dino_antibes-1961-1,6,excitement
abidin-dino_drawing-pain-1968,7,fear
abidin-dino_drawing-pain-self-portrait-1967,0,painting
abidin-dino_harpooned-man-1970,4,contentment
abidin-dino_legendes-a-venir-theatre-poster,6,excitement
abidin-dino_legendes-a-venir-theatre-poster-1972,0,painting
abidin-dino_nomads-portrait-of-a-woman-1940,6,excitement
abidin-dino_saman-sar-s-illustration,0,painting
abraham-manievich_artist-s-wife-1937,2,anger
abraham-manievich_barn-with-figures,3,awe
abraham-manievich_beyond-the-trees,7,fear
abraham-manievich_bronx-river-park,6,excitement
abraham-manievich_camden-1923,7,fear
abraham-manievich_cloudy-day-bridgeport-connecticut-1939,7,fear
abraham-manievich_early-spring-1913,2,anger
abraham-manievich_fall-scene,0,painting
abraham-manievich_flowers-on-a-yellow-table,0,painting
abraham-manievich_house-workers-in-the-bronx,7,fear
abraham-manievich_late-summer-afternoon-the-bronx,3,awe
abraham-manievich_lyrical-landscape,6,excitement
abraham-manievich_moscow-iii,7,fear
abraham-manievich_portrait-of-the-artist-s-wife-1929,7,fear
abraham-manievich_snow-covered-street,3,awe
abraham-manievich_still-life-with-green-vase-and-flowers,2,anger
abraham-manievich_street-scene-with-hot-dog-stand,3,awe
abraham-manievich_the-yellow-house,3,awe
abraham-manievich_town-scene-with-bus-stop,0,painting
abraham-manievich_troika-in-the-snow-1910,3,awe
abraham-manievich_unfinished-painting,0,painting
abraham-manievich_untitled-1925,5,disgust
abraham-manievich_white-house-with-trees,3,awe
abraham-manievich_winter-scene-with-church-1911,3,awe
abraham-manievich_winter-village-scene,0,painting
ad-reinhardt_a-page-by-ad-reinhardt,0,painting
ad-reinhardt_abstract-painiting-1963,7,fear
ad-reinhardt_abstract-painting-1957,4,contentment
ad-reinhardt_abstract-painting-1961,3,awe
ad-reinhardt_abstract-painting-1966,6,excitement
ad-reinhardt_abstract-painting-1966-1,7,fear
ad-reinhardt_abstract-painting-blue-1953,3,awe
ad-reinhardt_abstract-painting-blue-1953-1,3,awe
ad-reinhardt_abstract-painting-no-9-1966,6,excitement
ad-reinhardt_abstract-painting-red-1952,0,painting
ad-reinhardt_blue-painting-1953,7,fear
ad-reinhardt_collage-1940,0,painting
ad-reinhardt_ho-to-look-at-an-artist,0,painting
ad-reinhardt_how-to-look-at-a-spiral-1946(1),0,painting
ad-reinhardt_how-to-look-at-modern-art-1946,0,painting
ad-reinhardt_how-to-look-at-modern-art-detail-1946,0,painting
ad-reinhardt_illustration-for-the-races-of-mankind-by-ruth-benedict-and-gene-weltfish-1944,4,contentment
ad-reinhardt_newsprint-collage-1940,0,painting
ad-reinhardt_number-107-1950,3,awe
ad-reinhardt_number-22-1949,0,painting
ad-reinhardt_number-43-abstract-painting-yellow-1947,4,contentment
ad-reinhardt_number-6-1946,5,disgust
ad-reinhardt_painting-1958(4),7,fear
ad-reinhardt_the-rescue-of-art-1946,6,excitement
ad-reinhardt_untitled-6-1966,7,fear
ad-reinhardt_untitled-from-the-portfolio-ten-works-x-ten-painters-1964,7,fear
adam-baltatu_arge-valley,3,awe
adam-baltatu_at-the-brickyard,3,awe
adam-baltatu_august-day,3,awe
adam-baltatu_autumn-still-life,0,painting
adam-baltatu_birch-woods,3,awe
adam-baltatu_br-ne-ti-landscape,3,awe
adam-baltatu_children-on-the-alley,3,awe
adam-baltatu_cup-with-geraniums,2,anger
adam-baltatu_fantastic-landscape,3,awe
adam-baltatu_fishing-preparations,3,awe
adam-baltatu_fruitage,3,awe
adam-baltatu_grange,0,painting
adam-baltatu_house-with-flowers,3,awe
adam-baltatu_houses-at-the-edge-of-the-forest,3,awe
adam-baltatu_houses-in-bretania,3,awe
adam-baltatu_houses-in-bretania-1,3,awe
adam-baltatu_houses-in-ha-i,3,awe
adam-baltatu_houses-in-hu-i,3,awe
adam-baltatu_houses-in-hu-i-1,3,awe
adam-baltatu_hu-i-slums-houses,4,contentment
adam-baltatu_ia-i-outskirts-houses,3,awe
adam-baltatu_mangalia-houses,3,awe
adam-baltatu_meridional-landscape,3,awe
adam-baltatu_noon-at-br-ne-ti,3,awe
adam-baltatu_pipkin-with-chrysanthemums,3,awe
adam-baltatu_pipkin-with-field-flowers,3,awe
adam-baltatu_pipkin-with-flowers,3,awe
adam-baltatu_sighi-oara,3,awe
adam-baltatu_sighi-oara-1,3,awe
adam-baltatu_still-life-with-apples-and-pipkin,3,awe
adam-baltatu_still-life-with-green-apples,3,awe
adam-baltatu_still-life-with-pipe-and-books,3,awe
adam-baltatu_still-life-with-red-pot-and-apples,3,awe
adam-baltatu_still-life-with-travel-props,7,fear
adam-baltatu_street-in-hu-i,3,awe
adam-baltatu_subret,3,awe
adam-baltatu_summer-landscape-1,3,awe
adam-baltatu_summer-landscape-2,3,awe
adam-baltatu_summer-sky,3,awe
adam-baltatu_the-needlewoman,3,awe
adam-baltatu_towards-the-noon,2,anger
adam-baltatu_venice-alleyways,7,fear
adam-baltatu_view-towards-san-giorgio-venice,3,awe
adam-baltatu_village-alley,2,anger
adam-baltatu_village-boundary-1,3,awe
adam-baltatu_village-boundary-2,3,awe
adam-baltatu_winter-at-hu-i,7,fear
adolf-fleischmann_harbour-1928,3,awe
adolf-fleischmann_hommage-delaunay-et-gleizes-1938,3,awe
adolf-fleischmann_sill-life-with-fruits-mussels-and-a-bottle,0,painting
adolf-hitler_alter-werderthor-wien,5,disgust
adolf-hitler_arch-of-triumph-in-munich,3,awe
adolf-hitler_ardoye-in-flanders,2,anger
adolf-hitler_battlefield-wall-1918,7,fear
adolf-hitler_bridge-with-towers,2,anger
adolf-hitler_castle-battlements,1,amusement
adolf-hitler_church-at-dawn,3,awe
adolf-hitler_church-spire,3,awe
adolf-hitler_destroyed-bridge,2,anger
adolf-hitler_destroyed-building-with-archway,3,awe
adolf-hitler_destroyed-tank-1916,2,anger
adolf-hitler_flower-blossom-study,3,awe
adolf-hitler_flowers-with-roots,0,painting
adolf-hitler_germany,2,anger
adolf-hitler_hundswiese-farmhouse,3,awe
adolf-hitler_informal-dining-room-long-view,2,anger
adolf-hitler_lamberg-castle,3,awe
adolf-hitler_linz-landscape,2,anger
adolf-hitler_maritime-nocturno-1913,3,awe
adolf-hitler_millhouse,3,awe
adolf-hitler_perchtoldsdorg-castle-and-church,2,anger
adolf-hitler_road-to-no-man-s-land-1916,7,fear
adolf-hitler_rolling-hills,3,awe
adolf-hitler_ruins-of-a-cloister-in-messines-1914,7,fear
adolf-hitler_ruins-with-arches,3,awe
adolf-hitler_self-portrait-on-a-stone-bridge-1910,3,awe
adolf-hitler_shelter-in-fournes,3,awe
adolf-hitler_sitting-room,3,awe
adolf-hitler_smoking-tank-1916,6,excitement
adolf-hitler_st-peter-s-church-in-vienna,0,painting
adolf-hitler_still-life-with-bottle-and-fruit,3,awe
adolf-hitler_tank-battleground-1916,7,fear
adolf-hitler_tank-patrol-1917,6,excitement
adolf-hitler_the-basler-gate,3,awe
adolf-hitler_the-castle-on-the-donau,0,painting
adolf-hitler_the-church-of-preux-au-bois,3,awe
adolf-hitler_the-country-church,3,awe
adolf-hitler_the-courtyard-of-the-old-residency-in-munich-1913,2,anger
adolf-hitler_the-hermann-s-new-millhouse,3,awe
adolf-hitler_the-old-building-in-stand-of-trees-1909,2,anger
adolf-hitler_the-st-charles-church,2,anger
adolf-hitler_the-trail-1916,7,fear
adolf-hitler_town-gate,3,awe
adolf-hitler_war-torn-town-1918,3,awe
adolf-hitler_white-orchids,3,awe
adolphe-joseph-thomas-monticelli_an-evening-at-the-paiva,3,awe
adolphe-joseph-thomas-monticelli_as-you-like-it,3,awe
adolphe-joseph-thomas-monticelli_cock-fight-in-front-of-a-group-of-young-women,0,painting
adolphe-joseph-thomas-monticelli_elegant-gathering,0,painting
adolphe-joseph-thomas-monticelli_elegant-women-and-cupids,3,awe
adolphe-joseph-thomas-monticelli_empress-eugenie-and-her-attendants,0,painting
adolphe-joseph-thomas-monticelli_farmyard-with-donkeys-and-roosters,6,excitement
adolphe-joseph-thomas-monticelli_gallant-party,7,fear
adolphe-joseph-thomas-monticelli_garden-party,2,anger
adolphe-joseph-thomas-monticelli_gathering-of-elegant-women,3,awe
adolphe-joseph-thomas-monticelli_italian-fishing-vessels-at-dusk,7,fear
adolphe-joseph-thomas-monticelli_margaree-faust-and-mephisto,2,anger
adolphe-joseph-thomas-monticelli_oriental-scene-1876,6,excitement
adolphe-joseph-thomas-monticelli_port-of-cassis-1884,7,fear
adolphe-joseph-thomas-monticelli_rendezvous-under-the-flowered-bower,5,disgust
adolphe-joseph-thomas-monticelli_road-view,2,anger
adolphe-joseph-thomas-monticelli_roasting-two-pheasants,3,awe
adolphe-joseph-thomas-monticelli_seascape-near-marseille-fantastic-village,7,fear
adolphe-joseph-thomas-monticelli_stage,3,awe
adolphe-joseph-thomas-monticelli_still-life-with-sardines-and-sea-urchins-1882,4,contentment
adolphe-joseph-thomas-monticelli_still-life-with-white-pitcher,3,awe
adolphe-joseph-thomas-monticelli_still-life-with-wild-and-garden-flowers,2,anger
adolphe-joseph-thomas-monticelli_the-hay-card,5,disgust
adolphe-joseph-thomas-monticelli_the-meeting-of-the-elegant-ladies,6,excitement
adolphe-joseph-thomas-monticelli_the-offering,7,fear
adolphe-joseph-thomas-monticelli_the-precious-ridiculous-1883,0,painting
adolphe-joseph-thomas-monticelli_the-terrace-of-the-chateau-de-st-germain,0,painting
adolphe-joseph-thomas-monticelli_three-friends,6,excitement
adolphe-joseph-thomas-monticelli_visit-to-a-princess,2,anger
adolphe-joseph-thomas-monticelli_young-girls-and-dog-in-a-park,3,awe
adriaen-brouwer_a-boor-asleep,0,painting
adriaen-brouwer_drinkers-in-the-yard,7,fear
adriaen-brouwer_dune-landscape-by-moonlight,3,awe
adriaen-brouwer_farmers-fight-party,4,contentment
adriaen-brouwer_father-s-of-unpleasant-duties-1631,6,excitement
adriaen-brouwer_feeling,6,excitement
adriaen-brouwer_fumatore,0,painting
adriaen-brouwer_in-the-tavern,0,painting
adriaen-brouwer_in-the-tavern-1,0,painting
adriaen-brouwer_inn-with-drunken-peasants,0,painting
adriaen-brouwer_interior-with-smokers-1632,7,fear
adriaen-brouwer_jan-davidszoon-de-heem,0,painting
adriaen-brouwer_musical-company,3,awe
adriaen-brouwer_operation-on-foot,2,anger
adriaen-brouwer_peasant-inn,7,fear
adriaen-brouwer_peasants-fighting,6,excitement
adriaen-brouwer_peasants-playing-cards-in-a-tavern,7,fear
adriaen-brouwer_peasants-quarrelling-in-an-interior-1630,0,painting
adriaen-brouwer_peasants-smoking-and-drinking,3,awe
adriaen-brouwer_scene-at-the-inn,0,painting
adriaen-brouwer_smallholders-playing-cards,6,excitement
adriaen-brouwer_smallholders-playing-dice,1,amusement
adriaen-brouwer_smokers-in-an-inn,0,painting
adriaen-brouwer_the-back-operation,0,painting
adriaen-brouwer_the-bitter-drunk,4,contentment
adriaen-brouwer_the-brawl,6,excitement
adriaen-brouwer_the-drinker,0,painting
adriaen-brouwer_the-master-of-drinking,3,awe
adriaen-brouwer_the-pancake-baker,7,fear
adriaen-brouwer_the-schlachtfest,0,painting
adriaen-brouwer_the-smokers-1,0,painting
adriaen-brouwer_the-smokers-or-the-peasants-of-moerdijk-1630,0,painting
adriaen-brouwer_twilight-landscape,6,excitement
adriaen-brouwer_village-barbershop,4,contentment
adriaen-brouwer_village-scene-with-men-drinking,7,fear
adriaen-brouwer_youth-making-a-face,0,painting
adriaen-van-de-velde_a-classical-landscape-1671,3,awe
adriaen-van-de-velde_a-cow-and-three-sheep,2,anger
adriaen-van-de-velde_agony-in-the-garden-1665,2,anger
adriaen-van-de-velde_amusement-on-the-ice-1669,1,amusement
adriaen-van-de-velde_animals-by-the-river-1664,3,awe
adriaen-van-de-velde_battle,5,disgust
adriaen-van-de-velde_beach-at-scheveningen,7,fear
adriaen-van-de-velde_bull-1659,7,fear
adriaen-van-de-velde_cattle-and-goats-in-a-meadow-1658,3,awe
adriaen-van-de-velde_cityscape-with-drawbridge-1672,2,anger
adriaen-van-de-velde_cows-on-a-meadow-1658,3,awe
adriaen-van-de-velde_frozen-canal-with-skaters-and-hockey-players-1668,3,awe
adriaen-van-de-velde_golfers-on-the-ice-near-haarlem-1668,7,fear
adriaen-van-de-velde_harteveld-house-on-the-vecht-in-utrecht,2,anger
adriaen-van-de-velde_landscape-with-shepherds,3,awe
adriaen-van-de-velde_milking-a-cow-1666,3,awe
adriaen-van-de-velde_portrait-of-a-couple-with-two-children-and-a-nursemaid-in-a-landscape-1667,3,awe
adriaen-van-de-velde_portrait-of-a-couple-with-two-children-and-a-nursemaid-in-a-landscape-detail-1667,3,awe
adriaen-van-de-velde_reclining-herdsman,3,awe
adriaen-van-de-velde_seated-woman-with-a-basket-and-livestock,3,awe
adriaen-van-de-velde_study-of-a-woman-in-peasant-dress,5,disgust
adriaen-van-de-velde_the-annunciation-1667,2,anger
adriaen-van-de-velde_the-beach-at-scheveningen-1658,3,awe
adriaen-van-de-velde_the-church-of-st-severin-in-cologne-in-a-fictive-setting-1672,3,awe
adriaen-van-de-velde_the-farm-1666,3,awe
adriaen-van-de-velde_the-hut-1671,0,painting
adriaen-van-de-velde_the-hut-detail-1671,3,awe
adriaen-van-de-velde_the-martelaarsgracht-in-amsterdam,3,awe
adriaen-van-de-velde_the-stone-bridge-1672,3,awe
adriaen-van-de-velde_view-in-amsterdam,2,anger
adriaen-van-de-velde_view-of-oudezijds-voorburgwal-with-the-oude-kerk-in-amsterdam,3,awe
adriaen-van-de-velde_view-of-the-ancient-castle-of-the-dukes-of-burgundy-in-brussels-1672,2,anger
adriaen-van-de-venne_a-cavalier-at-his-dressing-table,3,awe
adriaen-van-de-venne_a-game-of-handball-with-country-palace-in-background,5,disgust
adriaen-van-de-venne_a-man-carrying-a-sack,2,anger
adriaen-van-de-venne_a-merry-company-in-an-arbor,3,awe
adriaen-van-de-venne_a-summer-village-landscape-with-horse,3,awe
adriaen-van-de-venne_al-te-bot,7,fear
adriaen-van-de-venne_allegory-depicting-the-pacification-of-ghent,3,awe
adriaen-van-de-venne_allegory-of-poverty,7,fear
adriaen-van-de-venne_an-amorous-peasant-couple-conversing,3,awe
adriaen-van-de-venne_beautiful-and-ugly-1634,0,painting
adriaen-van-de-venne_beggars-fighting-1634,1,amusement
adriaen-van-de-venne_early-depiction-of-a-dutch-telescope,0,painting
adriaen-van-de-venne_emblem,2,anger
adriaen-van-de-venne_emblem-1,0,painting
adriaen-van-de-venne_emblem-from-cats-monita-amoris-virginei,2,anger
adriaen-van-de-venne_fishing-for-souls,3,awe
adriaen-van-de-venne_fools-have-the-most-fun,6,excitement
adriaen-van-de-venne_illustration,6,excitement
adriaen-van-de-venne_illustration-1,0,painting
adriaen-van-de-venne_mans-grief,0,painting
adriaen-van-de-venne_maurice-1567-1625-prince-of-orange-lying-in-state,7,fear
adriaen-van-de-venne_moses-striking-the-rock,6,excitement
adriaen-van-de-venne_portrait-of-frederick-hendrick-prince-of-orange-nassau,0,painting
adriaen-van-de-venne_portrait-of-maurice-prince-of-orange,0,painting
adriaen-van-de-venne_princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair,5,disgust
adriaen-van-de-venne_the-port-of-middelburg,2,anger
adriaen-van-de-venne_what-won-t-people-do-for-money,0,painting
adriaen-van-de-venne_where-there-are-people-money-may-be-made,7,fear
adriaen-van-ostade_a-baker,3,awe
adriaen-van-ostade_a-fight,6,excitement
adriaen-van-ostade_a-fight-1,6,excitement
adriaen-van-ostade_a-man-in-the-window,0,painting
adriaen-van-ostade_a-peasant-family-outside-a-cottage,3,awe
adriaen-van-ostade_a-peasant-in-a-red-beret-smoking-a-pipe,0,painting
adriaen-van-ostade_a-talk-at-fireplace,3,awe
adriaen-van-ostade_a-tavern-interior-with-peasants-drinking-beneath-a-window,3,awe
adriaen-van-ostade_a-village-inn,2,anger
adriaen-van-ostade_an-alchemist,7,fear
adriaen-van-ostade_an-old-woman-by-window,0,painting
adriaen-van-ostade_barber-extracting-of-tooth,0,painting
adriaen-van-ostade_buying-fish-1669,3,awe
adriaen-van-ostade_children-playing-in-a-barn,6,excitement
adriaen-van-ostade_cottage-interior-with-a-family-around-the-hearth,7,fear
adriaen-van-ostade_country-concert,0,painting
adriaen-van-ostade_cutting-the-feather,7,fear
adriaen-van-ostade_dance-at-the-inn,0,painting
adriaen-van-ostade_dancing-couple-and-merry-company-in-an-interior,7,fear
adriaen-van-ostade_dancing-farmers,0,painting
adriaen-van-ostade_drinking-peasant-in-an-inn,0,painting
adriaen-van-ostade_feasting-peasants-in-a-tavern,2,anger
adriaen-van-ostade_happy-peasants,3,awe
adriaen-van-ostade_in-a-barn,3,awe
adriaen-van-ostade_in-a-tavern,3,awe
adriaen-van-ostade_in-the-village-inn,3,awe
adriaen-van-ostade_inn-scene,0,painting
adriaen-van-ostade_interior-of-a-farmhouse-with-skaters,7,fear
adriaen-van-ostade_interior-of-a-tavern-with-violin-player,0,painting
adriaen-van-ostade_interior-of-an-inn,7,fear
adriaen-van-ostade_interior-with-a-peasant-family,3,awe
adriaen-van-ostade_landscape-with-an-old-oak,6,excitement
adriaen-van-ostade_lawyer-in-his-study,0,painting
adriaen-van-ostade_merrymakers-in-an-inn,0,painting
adriaen-van-ostade_mother-holding-her-child-in-a-doorway,0,painting
adriaen-van-ostade_peasant-at-a-window-1662,7,fear
adriaen-van-ostade_peasant-family-in-a-cottage-interior,0,painting
adriaen-van-ostade_peasants-carousing-and-dancing-outside-an-inn,0,painting
adriaen-van-ostade_peasants-dancing-in-a-tavern,5,disgust
adriaen-van-ostade_peasants-drinking-and-making-music-in-a-barn,0,painting
adriaen-van-ostade_peasants-in-a-tavern,0,painting
adriaen-van-ostade_peasants-in-an-inn,3,awe
adriaen-van-ostade_peasants-in-an-interior,3,awe
adriaen-van-ostade_piping-and-drinking-in-the-tavern,3,awe
adriaen-van-ostade_portrait-of-a-scholar,0,painting
adriaen-van-ostade_prayer-before-the-meal,7,fear
adriaen-van-ostade_quarrel,2,anger
adriaen-van-ostade_resting-travellers,3,awe
adriaen-van-ostade_scene-in-the-tavern,0,painting
adriaen-van-ostade_scissors-grinder,0,painting
adriaen-van-ostade_sense-of-hearing,0,painting
adriaen-van-ostade_sense-of-smell,7,fear
adriaen-van-ostade_smiling-smoker,0,painting
adriaen-van-ostade_tavern-interior,0,painting
adriaen-van-ostade_the-breakfast,7,fear
adriaen-van-ostade_the-call,0,painting
adriaen-van-ostade_the-cottage-dooryard,2,anger
adriaen-van-ostade_the-de-goyer-family-and-the-painter,3,awe
adriaen-van-ostade_the-drinkers-1658,0,painting
adriaen-van-ostade_the-family-1,2,anger
adriaen-van-ostade_the-fishmarket,3,awe
adriaen-van-ostade_the-fishwife,4,contentment
adriaen-van-ostade_the-fishwife-1,3,awe
adriaen-van-ostade_the-flute-player,7,fear
adriaen-van-ostade_the-interior-of-a-peasant-s-cottage,7,fear
adriaen-van-ostade_the-merry-drinkers,0,painting
